,Unnamed: 0,nature,type,id,description,cwe_counts,cwe_id,repos
164,21,MemberOf,category,963,SFP Secondary Cluster: Exposed Data,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
165,22,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
166,23,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
167,24,MemberOf,category,1345,OWASP Top Ten 2021 Category A01:2021 - Broken Access Control,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
168,25,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
169,26,MemberOf,category,1417,Comprehensive Categorization: Sensitive Information Exposure,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
170,27,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
171,28,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
172,29,MemberOf,category,1436,OWASP Top Ten 2025 Category A01:2025 - Broken Access Control,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
173,30,Self,class,200,,59,200,"['aim', 'pyss3', 'langflow', 'mlflow', 'determined', 'jax', 'gan', 'ColossalAI', 'open-metric-learning', 'pytorch_geometric', 'pytorch-lightning', 'spaCy', 'sinabs', 'bokeh', 'ray', 'catboost', 'LightGBM', 'gradio', 'streamlit', 'transformers', 'bentoml', 'detectron2']"
174,0,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
175,1,ChildOf,class,755,Improper Handling of Exceptional Conditions,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
176,2,ParentOf,base,210,Self-generated Error Message Containing Sensitive Information,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
177,3,ParentOf,base,211,Externally-Generated Error Message Containing Sensitive Information,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
178,4,ParentOf,variant,550,Server-generated Error Message Containing Sensitive Information,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
179,5,PeerOf,base,1295,Debug Messages Revealing Unnecessary Information,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
180,6,CanFollow,variant,600,Uncaught Exception in Servlet,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
181,7,CanFollow,base,756,Missing Custom Error Page,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
182,8,MemberOf,category,199,Information Management Errors,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
183,9,MemberOf,category,389,"Error Conditions, Return Values, Status Codes",88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
184,10,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
185,11,MemberOf,category,1015,Limit Access,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
186,12,MemberOf,category,717,OWASP Top Ten 2007 Category A6 - Information Leakage and Improper Error Handling,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
187,13,MemberOf,category,728,OWASP Top Ten 2004 Category A7 - Improper Error Handling,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
188,14,MemberOf,category,731,OWASP Top Ten 2004 Category A10 - Insecure Configuration Management,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
189,15,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
190,16,MemberOf,category,801,2010 Top 25 - Insecure Interaction Between Components,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
191,17,MemberOf,category,815,OWASP Top Ten 2010 Category A6 - Security Misconfiguration,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
192,18,MemberOf,category,851,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 8 - Exceptional Behavior (ERR),88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
193,19,MemberOf,category,867,2011 Top 25 - Weaknesses On the Cusp,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
194,20,MemberOf,category,880,CERT C++ Secure Coding Section 12 - Exceptions and Error Handling (ERR),88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
195,21,MemberOf,view,884,CWE Cross-section,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
196,22,MemberOf,category,933,OWASP Top Ten 2013 Category A5 - Security Misconfiguration,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
197,23,MemberOf,category,963,SFP Secondary Cluster: Exposed Data,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
198,24,MemberOf,category,1032,OWASP Top Ten 2017 Category A6 - Security Misconfiguration,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
199,25,MemberOf,category,1348,OWASP Top Ten 2021 Category A04:2021 - Insecure Design,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
200,26,MemberOf,category,1417,Comprehensive Categorization: Sensitive Information Exposure,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
201,27,MemberOf,category,1445,OWASP Top Ten 2025 Category A10:2025 - Mishandling of Exceptional Conditions,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
202,28,Self,base,209,,88,209,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
203,0,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
204,1,ParentOf,base,214,Invocation of Process Using Visible Sensitive Information,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
205,2,ParentOf,variant,548,Exposure of Information Through Directory Listing,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
206,3,PeerOf,base,1431,Driving Intermediate Cryptographic State/Results to Hardware Module Outputs,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
207,4,MemberOf,category,199,Information Management Errors,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
208,5,MemberOf,category,485,7PK - Encapsulation,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
209,6,MemberOf,category,851,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 8 - Exceptional Behavior (ERR),88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
210,7,MemberOf,category,880,CERT C++ Secure Coding Section 12 - Exceptions and Error Handling (ERR),88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
211,8,MemberOf,category,963,SFP Secondary Cluster: Exposed Data,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
212,9,MemberOf,category,1345,OWASP Top Ten 2021 Category A01:2021 - Broken Access Control,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
213,10,MemberOf,category,1417,Comprehensive Categorization: Sensitive Information Exposure,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
214,11,MemberOf,category,1436,OWASP Top Ten 2025 Category A01:2025 - Broken Access Control,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
215,12,Self,base,497,,88,497,"['aim', 'feast', 'PySyft', 'langflow', 'mindsdb', 'ColossalAI', 'superset', 'danswerai', 'blaze', 'machine-learning', 'deepface', 'ray', 'gradio', 'dash', 'open-webui', 'DIGITS', 'mlflow', 'joliGEN']"
216,0,ChildOf,class,610,Externally Controlled Reference to a Resource in Another Sphere,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
217,1,MemberOf,category,19,Data Processing Errors,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
218,2,ChildOf,class,610,Externally Controlled Reference to a Resource in Another Sphere,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
219,3,MemberOf,category,1019,Validate Inputs,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
220,4,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
221,5,MemberOf,category,801,2010 Top 25 - Insecure Interaction Between Components,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
222,6,MemberOf,category,819,OWASP Top Ten 2010 Category A10 - Unvalidated Redirects and Forwards,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
223,7,MemberOf,category,864,2011 Top 25 - Insecure Interaction Between Components,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
224,8,MemberOf,view,884,CWE Cross-section,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
225,9,MemberOf,category,938,OWASP Top Ten 2013 Category A10 - Unvalidated Redirects and Forwards,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
226,10,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
227,11,MemberOf,category,1345,OWASP Top Ten 2021 Category A01:2021 - Broken Access Control,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
228,12,MemberOf,category,1382,ICS Operations (& Maintenance): Emerging Energy Technologies,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
229,13,MemberOf,category,1396,Comprehensive Categorization: Access Control,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
230,14,MemberOf,category,1436,OWASP Top Ten 2025 Category A01:2025 - Broken Access Control,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
231,15,Self,base,601,,14,601,"['mindsdb', 'langflow', 'superset', 'DIGITS', 'face_recognition']"
232,0,ChildOf,base,319,Cleartext Transmission of Sensitive Information,2,614,['DIGITS']
233,1,MemberOf,category,966,SFP Secondary Cluster: Other Exposures,2,614,['DIGITS']
234,2,MemberOf,category,1349,OWASP Top Ten 2021 Category A05:2021 - Security Misconfiguration,2,614,['DIGITS']
235,3,MemberOf,category,1402,Comprehensive Categorization: Encryption,2,614,['DIGITS']
236,4,MemberOf,category,1437,OWASP Top Ten 2025 Category A02:2025 - Security Misconfiguration,2,614,['DIGITS']
237,5,Self,variant,614,,2,614,['DIGITS']
238,0,ChildOf,pillar,707,Improper Neutralization,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
239,1,ParentOf,class,75,Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
240,2,ParentOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
241,3,ParentOf,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
242,4,ParentOf,base,91,XML Injection (aka Blind XPath Injection),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
243,5,ParentOf,base,93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
244,6,ParentOf,base,94,Improper Control of Generation of Code ('Code Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
245,7,ParentOf,class,99,Improper Control of Resource Identifiers ('Resource Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
246,8,ParentOf,class,943,Improper Neutralization of Special Elements in Data Query Logic,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
247,9,ParentOf,base,1236,Improper Neutralization of Formula Elements in a CSV File,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
248,10,CanFollow,class,20,Improper Input Validation,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
249,11,CanFollow,class,116,Improper Encoding or Escaping of Output,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
250,12,MemberOf,view,1003,Weaknesses for Simplified Mapping of Published Vulnerabilities,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
251,13,ParentOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
252,14,ParentOf,base,78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
253,15,ParentOf,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
254,16,ParentOf,base,88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
255,17,ParentOf,base,89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
256,18,ParentOf,base,91,XML Injection (aka Blind XPath Injection),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
257,19,ParentOf,base,94,Improper Control of Generation of Code ('Code Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
258,20,ParentOf,base,917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
259,21,ParentOf,base,1236,Improper Neutralization of Formula Elements in a CSV File,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
260,22,MemberOf,category,1019,Validate Inputs,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
261,23,MemberOf,category,727,OWASP Top Ten 2004 Category A6 - Injection Flaws,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
262,24,MemberOf,category,929,OWASP Top Ten 2013 Category A1 - Injection,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
263,25,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
264,26,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
265,27,MemberOf,category,1409,Comprehensive Categorization: Injection,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
266,28,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
267,29,Self,class,74,,9,74,"['feast', 'superset', 'DI-engine', 'pandas', 'ray', 'DIGITS', 'dl-translate']"
268,0,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),300,78,"['ViZDoom', 'numpy', 'aim', 'langflow', 'matplotlib', 'Spearmint', 'bigartm', 'DI-engine', 'blaze', 'catalyst', 'typer', 'nilearn', 'mlflow', 'zipline', 'determined', 'retro', 'rep', 'open-webui', 'jax', 'mindsdb', 'deeplake', 'pyqtgraph', 'gensim', 'cortex', 'tensorflow', 'PyStanfordDependencies', 'pydantic', 'mist', 'open-metric-learning', 'neuraltalk', 'danswerai', 'pytorch-lightning', 'shogun', 'rasa', 'loso', 'statsmodels', 'superset', 'bokeh', 'pytorch-image-models', 'ray', 'pynlpl', 'DIGITS', 'mlens', 'scikit-learn-intelex', 'mars', 'catboost', 'colibri-core', 'pytorch', 'deeppy', 'skll', 'gradio', 'streamlit', 'altair', 'bentoml', 'xgboost', 'dash', 'scikit-image', 'transformers', 'detectron2']"
269,1,CanFollow,base,184,Incomplete List of Disallowed Inputs,300,78,"['ViZDoom', 'numpy', 'aim', 'langflow', 'matplotlib', 'Spearmint', 'bigartm', 'DI-engine', 'blaze', 'catalyst', 'typer', 'nilearn', 'mlflow', 'zipline', 'determined', 'retro', 'rep', 'open-webui', 'jax', 'mindsdb', 'deeplake', 'pyqtgraph', 'gensim', 'cortex', 'tensorflow', 'PyStanfordDependencies', 'pydantic', 'mist', 'open-metric-learning', 'neuraltalk', 'danswerai', 'pytorch-lightning', 'shogun', 'rasa', 'loso', 'statsmodels', 'superset', 'bokeh', 'pytorch-image-models', 'ray', 'pynlpl', 'DIGITS', 'mlens', 'scikit-learn-intelex', 'mars', 'catboost', 'colibri-core', 'pytorch', 'deeppy', 'skll', 'gradio', 'streamlit', 'altair', 'bentoml', 'xgboost', 'dash', 'scikit-image', 'transformers', 'detectron2']"
